批次,密码数量,串行时间(秒),二路SIMD时间(秒),四路SIMD时间(秒),八路SIMD时间(秒),二路加速比,四路加速比,八路加速比
1,1051391,0.235848,0.173242,0.144687,0.126545,1.36138,1.63006,1.86375
2,1047659,0.239492,0.17151,0.141018,0.124189,1.39637,1.69831,1.92845
3,1005814,0.307514,0.167999,0.194173,0.149935,1.83045,1.58371,2.05098
4,1139117,0.388389,0.225193,0.20883,0.185019,1.72469,1.85983,2.09918
5,1128592,0.327618,0.241151,0.155673,0.137805,1.35856,2.10453,2.3774
6,1064272,0.318008,0.267962,0.184224,0.138111,1.18677,1.7262,2.30255
7,1044575,0.274326,0.181288,0.205871,0.209866,1.51321,1.33251,1.30715
8,1001665,0.319618,0.201503,0.155108,0.123402,1.58617,2.06062,2.59006
9,1045737,0.283904,0.212248,0.193424,0.126014,1.33761,1.46778,2.25296

总计汇总,总密码数量,串行总时间(秒),二路SIMD总时间(秒),四路SIMD总时间(秒),八路SIMD总时间(秒),二路总加速比,四路总加速比,八路总加速比
总计,9528822,2.69472,1.8421,1.58301,1.32089,1.46285,1.70228,2.04008
每秒处理密码数,,3.53611e+06,5.17282e+06,6.01944e+06,7.21396e+06,,,
